qtd_elementos,cont_bbs,cont_sel,cont_ins
100,20328,5659,5511
200,80396,21487,20895
300,177528,47339,44811
400,320000,83287,81397
500,509024,129199,131259
600,727576,185106,185885
700,980516,250992,247705
800,1285548,327095,325571
900,1622828,412901,409561
1000,1995052,508863,501023
1100,2415848,615083,606771
1200,2884812,731117,726603
1300,3378344,857143,848719
1400,3934236,992785,992015
1500,4504556,1139019,1132525
1600,5115184,1294851,1283189
1700,5744852,1461348,1433373
1800,6439292,1637297,1605943
1900,7180016,1823477,1791655
2000,7945432,2019668,1979713
2100,8798984,2225736,2201839
2200,9666548,2441570,2420971
2300,10603160,2667462,2664627
2400,11538212,2903877,2897503
2500,12538004,3149983,3152749
2600,13506492,3406014,3382343
2700,14563532,3672223,3646213
2800,15626548,3947581,3903071
2900,16790368,4234346,4200331
3000,18016416,4530263,4518705
3100,19217508,4836369,4814601
3200,20460848,5152507,5121621
3300,21786936,5478948,5460015
3400,23173756,5814404,5818775
3500,24542060,6161392,6158277
3600,25954424,6516794,6509809
3700,27387664,6883262,6861779
3800,28931008,7258802,7258801
3900,30389568,7645990,7603431
4000,31949668,8041499,7988831
4100,33583712,8448167,8401203
4200,35241284,8863198,8815339
4300,36943608,9289883,9241851
4400,38669120,9727000,9669957
4500,40399292,10172724,10090393
4600,42200192,10628728,10536193
4700,44144956,11094495,11043925
4800,46119124,11571258,11556359
4900,48056988,12058094,12040641
5000,50045732,12553172,12540363
5100,52066392,13059379,13046043
5200,54104792,13576514,13550593
5300,56169760,14101834,14058427
5400,58296292,14638689,14587043
5500,60429800,15183954,15109147
5600,62624420,15740215,15651807
5700,64916700,16307171,16233297
5800,67186628,16882497,16793611
5900,69477376,17469333,17354335
6000,71831072,18066250,17936533
6100,74204736,18671717,18518715
6200,76639244,19287542,19121319
6300,79069188,19914313,19711641
6400,81560136,20550297,20322465
6500,84136312,21196719,20965903
6600,86652216,21852200,21569205
6700,89088084,22518105,22122489
6800,91837444,23195874,22822519
6900,94459804,23881354,23449049
7000,97287452,24577302,24168223
7100,100171608,25283885,24905651
7200,102873744,26000165,25542069
7300,105738844,26725963,26249969
7400,108586552,27463001,26939173
7500,111778992,28209045,27790743
7600,114834004,28964744,28563599
7700,117651444,29731058,29207669
7800,120684608,30506192,29949601
7900,123755184,31292524,30700239
8000,126928128,32090599,31492061
8100,130251540,32895081,32349117
8200,133541276,33711556,33179335
8300,136838484,34537268,34003289
8400,140227148,35373548,34862971
8500,143572924,36218902,35691209
8600,147086780,37076580,36593487
8700,150428152,37942123,37399523
8800,153956300,38818119,38288947
8900,157546224,39703354,39199259
9000,161147012,40599749,40105003
9100,164564348,41504958,40909021
9200,168311824,42423593,41868109
9300,172042864,43349911,42808979
9400,175834440,44287106,43770117
9500,179546884,45231406,44681689
9600,183239904,46188492,45573549
9700,187050568,47155756,46514231
9800,191045420,48129182,47537007
9900,195191652,49117985,48625473
10000,199019944,50113730,49544969
