qtd_elementos,cont_bbs,cont_ins,cont_sel

500,249500,1497,126746
1000,999000,2997,503496
1500,2248500,4497,1130246
2000,3998000,5997,2006996
2500,6247500,7497,3133746
3000,8997000,8997,4510496
3500,12246500,10497,6137246
4000,15996000,11997,8013996
4500,20245500,13497,10140746
5000,24995000,14997,12517496
5500,30244500,16497,15144246
6000,35994000,17997,18020996
6500,42243500,19497,21147746
7000,48993000,20997,24524496
7500,56242500,22497,28151246
8000,63992000,23997,32027996
8500,72241500,25497,36154746
9000,80991000,26997,40531496
9500,90240500,28497,45158246
10000,99990000,29997,50034996
10500,110239500,31497,55161746
11000,120989000,32997,60538496
11500,132238500,34497,66165246
12000,143988000,35997,72041996
12500,156237500,37497,78168746
13000,168987000,38997,84545496
13500,182236500,40497,91172246
14000,195986000,41997,98048996
14500,210235500,43497,105175746
15000,224985000,44997,112552496
15500,240234500,46497,120179246
16000,255984000,47997,128055996
16500,272233500,49497,136182746
17000,288983000,50997,144559496
17500,306232500,52497,153186246
18000,323982000,53997,162062996
18500,342231500,55497,171189746
19000,360981000,56997,180566496
19500,380230500,58497,190193246
20000,399980000,59997,200069996
20500,420229500,61497,210196746
21000,440979000,62997,220573496
21500,462228500,64497,231200246
22000,483978000,65997,242076996
22500,506227500,67497,253203746
23000,528977000,68997,264580496
23500,552226500,70497,276207246
24000,575976000,71997,288083996
24500,600225500,73497,300210746
25000,624975000,74997,312587496
25500,650224500,76497,325214246
26000,675974000,77997,338090996
26500,702223500,79497,351217746
27000,728973000,80997,364594496
27500,756222500,82497,378221246
28000,783972000,83997,392097996
28500,812221500,85497,406224746
29000,840971000,86997,420601496
29500,870220500,88497,435228246
30000,899970000,89997,450104996
30500,930219500,91497,465231746
31000,960969000,92997,480608496
31500,992218500,94497,496235246
32000,1023968000,95997,512111996
