qtd_elementos,cont_bbs,cont_sel,cont_ins
100,29700,7846,10197
200,119400,30696,40397
300,269100,68546,90597
400,478800,121396,160797
500,748500,189246,250997
600,1078200,272096,361197
700,1467900,369946,491397
800,1917600,482796,641597
900,2427300,610646,811797
1000,2997000,753496,1001997
1100,3626700,911346,1212197
1200,4316400,1084196,1442397
1300,5066100,1272046,1692597
1400,5875800,1474896,1962797
1500,6745500,1692746,2252997
1600,7675200,1925596,2563197
1700,8664900,2173446,2893397
1800,9714600,2436296,3243597
1900,10824300,2714146,3613797
2000,11994000,3006996,4003997
2100,13223700,3314846,4414197
2200,14513400,3637696,4844397
2300,15863100,3975546,5294597
2400,17272800,4328396,5764797
2500,18742500,4696246,6254997
2600,20272200,5079096,6765197
2700,21861900,5476946,7295397
2800,23511600,5889796,7845597
2900,25221300,6317646,8415797
3000,26991000,6760496,9005997
3100,28820700,7218346,9616197
3200,30710400,7691196,10246397
3300,32660100,8179046,10896597
3400,34669800,8681896,11566797
3500,36739500,9199746,12256997
3600,38869200,9732596,12967197
3700,41058900,10280446,13697397
3800,43308600,10843296,14447597
3900,45618300,11421146,15217797
4000,47988000,12013996,16007997
4100,50417700,12621846,16818197
4200,52907400,13244696,17648397
4300,55457100,13882546,18498597
4400,58066800,14535396,19368797
4500,60736500,15203246,20258997
4600,63466200,15886096,21169197
4700,66255900,16583946,22099397
4800,69105600,17296796,23049597
4900,72015300,18024646,24019797
5000,74985000,18767496,25009997
5100,78014700,19525346,26020197
5200,81104400,20298196,27050397
5300,84254100,21086046,28100597
5400,87463800,21888896,29170797
5500,90733500,22706746,30260997
5600,94063200,23539596,31371197
5700,97452900,24387446,32501397
5800,100902600,25250296,33651597
5900,104412300,26128146,34821797
6000,107982000,27020996,36011997
6100,111611700,27928846,37222197
6200,115301400,28851696,38452397
6300,119051100,29789546,39702597
6400,122860800,30742396,40972797
6500,126730500,31710246,42262997
6600,130660200,32693096,43573197
6700,134649900,33690946,44903397
6800,138699600,34703796,46253597
6900,142809300,35731646,47623797
7000,146979000,36774496,49013997
7100,151208700,37832346,50424197
7200,155498400,38905196,51854397
7300,159848100,39993046,53304597
7400,164257800,41095896,54774797
7500,168727500,42213746,56264997
7600,173257200,43346596,57775197
7700,177846900,44494446,59305397
7800,182496600,45657296,60855597
7900,187206300,46835146,62425797
8000,191976000,48027996,64015997
8100,196805700,49235846,65626197
8200,201695400,50458696,67256397
8300,206645100,51696546,68906597
8400,211654800,52949396,70576797
8500,216724500,54217246,72266997
8600,221854200,55500096,73977197
8700,227043900,56797946,75707397
8800,232293600,58110796,77457597
8900,237603300,59438646,79227797
9000,242973000,60781496,81017997
9100,248402700,62139346,82828197
9200,253892400,63512196,84658397
9300,259442100,64900046,86508597
9400,265051800,66302896,88378797
9500,270721500,67720746,90268997
9600,276451200,69153596,92179197
9700,282240900,70601446,94109397
9800,288090600,72064296,96059597
9900,294000300,73542146,98029797
10000,299970000,75034996,100019997
