# Arquivo Coleta1.txt 
#Coluna 1 > Ponto de coleta
#Coluna 2 > Ocupação
#Coluna 3 > E(n)
#Coluna 4 > E(w)
#Coluna 5 > lambda
#Coluna 6 > Erro de Little
100 74.93392 2.51019 1.31424 1.91000 -0.00000000000000754952
200 155.25488 2.73870 1.45676 1.88000 -0.00000000000020783375
300 225.24757 2.85950 1.53461 1.86333 0.00000000000005906386
400 313.99906 3.39926 1.77739 1.91250 -0.00000000000012834178
500 384.70506 3.16522 1.64342 1.92600 0.00000000000034239278
600 468.62450 3.29393 1.69499 1.94333 0.00000000000023270275
700 557.65929 3.53142 1.79651 1.96571 0.00000000000069766415
800 643.04277 3.54840 1.79894 1.97250 -0.00000000000015143442
900 723.65635 3.47631 1.76462 1.97000 -0.00000000000072075679
1000 811.01190 3.91218 1.98186 1.97400 -0.00000000000094146912
1100 897.22117 3.91302 1.98630 1.97000 0.00000000000076383344
1200 984.26641 4.07610 2.06559 1.97333 -0.00000000000021938007
1300 1084.14719 5.08961 2.54676 1.99846 -0.00000000000099653619
1400 1176.90052 5.28878 2.63592 2.00643 -0.00000000000142019729
1500 1267.75667 5.23125 2.61127 2.00333 -0.00000000000342570416
1600 1358.52270 5.25338 2.62014 2.00500 -0.00000000000162536651
1700 1459.74206 5.80960 2.87270 2.02235 -0.00000000000037658765
1800 1555.15638 5.99255 2.96417 2.02167 -0.00000000000021938007
1900 1642.47838 5.95224 2.94052 2.02421 -0.00000000000082511775
2000 1733.63865 6.06008 2.97793 2.03500 -0.00000000000032684966
2100 1827.78951 6.18536 3.04269 2.03286 0.00000000000233590924
2200 1920.22978 6.43653 3.16433 2.03409 -0.00000000000054534155
2300 2006.03356 6.30087 3.11054 2.02565 0.00000000000204813944
2400 2101.68155 6.38371 3.14275 2.03125 0.00000000000028332892
2500 2188.80377 6.37693 3.13455 2.03440 0.00000000000213962181
2600 2273.92704 6.26124 3.07852 2.03385 -0.00000000000060218497
2700 2357.85257 6.16139 3.03351 2.03111 -0.00000000000218491891
2800 2432.41939 6.02153 2.97098 2.02679 0.00000000000031175063
2900 2504.39951 5.89327 2.90753 2.02690 -0.00000000000165734093
3000 2580.00408 5.81004 2.87721 2.01933 -0.00000000000059774408
3100 2656.46273 5.72874 2.83510 2.02065 -0.00000000000210231832
3200 2751.40530 5.93443 2.93058 2.02500 -0.00000000000207744932
3300 2831.09019 5.87335 2.91547 2.01455 -0.00000000000684785562
3400 2912.91245 5.81861 2.88976 2.01353 -0.00000000000989874849
3500 2988.26659 5.76077 2.86565 2.01029 -0.00000000001261302174
3600 3065.46487 5.69354 2.83771 2.00639 -0.00000000001284661266
3700 3159.24389 5.71256 2.83787 2.01297 -0.00000000001556088591
3800 3253.03686 5.74564 2.85516 2.01237 -0.00000000001391864402
3900 3316.89971 5.66216 2.82384 2.00513 -0.00000000001123812154
4000 3403.88898 5.62322 2.80670 2.00350 -0.00000000001431210706
4100 3498.48898 5.69969 2.84326 2.00463 -0.00000000001075139977
4200 3580.93684 5.69088 2.83262 2.00905 -0.00000000000664268640
4300 3652.40867 5.60247 2.79215 2.00651 -0.00000000000959055058
4400 3750.82222 5.80364 2.88673 2.01045 -0.00000000000977617987
4500 3836.51242 5.75287 2.86434 2.00844 -0.00000000000584421400
4600 3913.35509 5.67854 2.82851 2.00761 -0.00000000000512834220
4700 3996.17928 5.65733 2.82086 2.00553 -0.00000000001200906041
4800 4081.56194 5.66267 2.82398 2.00521 -0.00000000000746958051
4900 4171.56250 5.65001 2.81209 2.00918 -0.00000000000764099894
5000 4262.95372 5.69318 2.82624 2.01440 -0.00000000000549515988
5100 4357.53147 5.83641 2.89437 2.01647 0.00000000000394084765
5200 4439.48901 5.79281 2.87622 2.01404 0.00000000000025490721
5300 4523.44679 5.73931 2.85029 2.01358 0.00000000000067501560
5400 4613.29538 5.74790 2.85255 2.01500 -0.00000000000054622973
5500 4691.46011 5.68879 2.82488 2.01382 -0.00000000000071231909
5600 4781.51867 5.66661 2.81521 2.01286 -0.00000000000087929664
5700 4862.29423 5.67168 2.82173 2.01000 0.00000000000167421632
5800 4928.63478 5.62965 2.80515 2.00690 -0.00000000000326583205
5900 5022.99413 5.66474 2.82209 2.00729 0.00000000000733724193
6000 5116.05061 5.80275 2.88766 2.00950 -0.00000000000148681067
6100 5209.37585 5.86984 2.91628 2.01279 -0.00000000000744648787
6200 5296.37490 5.82980 2.89390 2.01452 -0.00000000000386002341
6300 5380.70500 5.85265 2.90924 2.01175 -0.00000000001155697760
6400 5467.13041 5.81938 2.89319 2.01141 -0.00000000000997424365
6500 5544.18445 5.76713 2.87032 2.00923 -0.00000000001262900895
6600 5636.72441 5.77075 2.87037 2.01045 -0.00000000001991296017
6700 5727.77387 5.80044 2.88515 2.01045 -0.00000000001873967648
6800 5807.10752 5.75495 2.86337 2.00985 -0.00000000001928945892
6900 5890.73105 5.73456 2.85137 2.01116 -0.00000000002834799062
7000 5985.72270 5.74385 2.85642 2.01086 -0.00000000003794831116
7100 6078.73645 5.81363 2.88830 2.01282 -0.00000000003693578776
