#Arquivo Dados/ColetaChamadaReal60.txt 
#Parâmetros(Ocupação: 60.00%, Capacidade: 588000.000 bps)
#Coleta|Ocupação|E(n)|E(w)|lambda|Little

100 0.00000 0.00000 -nan 0.00000 -nan
200 0.74904 0.06882 13.76356 0.00500 0.00000000000000000000
300 2.56373 0.25510 25.51046 0.01000 0.00000000000000000000
400 4.34182 0.25402 20.32167 0.01250 0.00000000000000005551
500 5.86723 0.98610 49.30491 0.02000 -0.00000000000000033307
600 5.34174 1.91933 104.69061 0.01833 0.00000000000000000000
700 6.15662 2.81548 103.72839 0.02714 0.00000000000000088818
800 7.34368 3.74146 119.72686 0.03125 0.00000000000000133227
900 9.92973 4.60058 153.35262 0.03000 0.00000000000000266454
1000 8.93675 5.69567 177.98958 0.03200 -0.00000000000000088818
1100 8.12432 6.81238 220.40063 0.03091 -0.00000000000000177636
1200 8.38564 8.01394 253.07186 0.03167 -0.00000000000000355271
1300 8.42427 9.10005 303.33495 0.03000 0.00000000000000177636
1400 8.92758 10.16027 330.79949 0.03071 0.00000000000000355271
1500 9.18509 11.20198 357.50991 0.03133 0.00000000000000000000
1600 8.81712 12.22617 391.23730 0.03125 -0.00000000000000532907
1700 9.25221 12.35842 389.06125 0.03176 0.00000000000000000000
1800 9.43401 12.47516 393.95249 0.03167 0.00000000000000000000
1900 9.34427 12.81146 386.37722 0.03316 -0.00000000000000710543
2000 10.06407 13.27906 396.38977 0.03350 -0.00000000000000355271
2100 9.58483 13.85159 404.00466 0.03429 -0.00000000000000177636
2200 9.55543 14.49251 430.85832 0.03364 0.00000000000000000000
2300 9.47804 15.08675 456.57284 0.03304 0.00000000000000000000
2400 9.67461 15.60462 486.37783 0.03208 -0.00000000000000177636
2500 9.55926 16.07145 496.03236 0.03240 -0.00000000000000355271
2600 9.62216 16.58484 507.30110 0.03269 -0.00000000000001065814
2700 9.72520 17.16056 526.51727 0.03259 -0.00000000000000710543
2800 9.78074 17.68798 556.47575 0.03179 -0.00000000000000355271
2900 9.81387 18.11009 590.10404 0.03069 -0.00000000000000710543
3000 9.87297 18.47658 602.49732 0.03067 -0.00000000000000355271
3100 10.32566 18.86115 615.46914 0.03065 0.00000000000000000000
3200 10.00298 19.25922 622.52018 0.03094 -0.00000000000000355271
3300 10.36261 19.72545 625.90384 0.03152 -0.00000000000001065814
3400 10.05783 20.35315 629.09721 0.03235 -0.00000000000000710543
3500 10.16922 21.00854 656.51703 0.03200 -0.00000000000001776357
3600 9.97633 21.63744 677.34585 0.03194 -0.00000000000001421085
3700 10.12392 22.31962 682.50065 0.03270 -0.00000000000000355271
3800 10.06689 23.07384 701.44470 0.03289 0.00000000000000000000
3900 10.04995 23.78964 730.54803 0.03256 -0.00000000000000355271
4000 10.12728 24.44887 758.10461 0.03225 -0.00000000000000710543
4100 10.08786 25.03792 783.62970 0.03195 0.00000000000000710543
4200 10.48199 25.55102 789.07557 0.03238 0.00000000000001065814
4300 10.23823 26.17487 787.07648 0.03326 0.00000000000000710543
4400 10.25995 26.92279 795.03550 0.03386 0.00000000000003552714
4500 10.17438 27.71123 815.03627 0.03400 0.00000000000004973799
4600 10.20591 28.49271 840.16955 0.03391 0.00000000000002842171
4700 10.18049 29.25342 875.73928 0.03340 0.00000000000002131628
